Departamento,Barrio/Localidad,Organización,Actividad/es,Necesidades,Número de contacto,Otro contacto,Dirección,Horario,Aclaraciones Adicionales,Cuenta Banco,Coordenada Latitud,Coordenada Longitud
Montevideo,Casavalle,Vecinas,Olla,"Verdura, carne y pan.",095410570 (Laura o Natalia),,Elisa Menéndez y Cno. Carmelo Colman,Sábados y domingos de 19:30 a 20:30,"Atienden a 150 personas por día (tienen intenciones de ampliar los días, pero no cuentan con los recursos).",,-34.819837,-56.170651
Montevideo,Casavalle,Vecinas/os Barrio 22 de Mayo,Olla,"Reciben todo tipo de donaciones  (principalmente pañales, productos de limpieza e higiene y gestión menstrual)",097584915,097287764,Guzman Papini esq. Las Piedras.,"Lunes a viernes  reparten a partir de las 20 / 20:30,",,,-34.821999,-56.164759
Montevideo,Casavalle,Vecinas del Barrio 1° de Mayo con apoyo de Brigada Estudiantil.,Olla,"Reciben todo tipo de donaciones (principalmente pañales, productos de limpieza e higiene y gestión menstrual)",093368150 (Sandra),,"Salón 1° de Mayo, Calle las Piedras.",Sábados y domingos (mediodía). Están intentando hacer algo para la merienda de los domingos.,"Habitualmente atienden a 70 niñes, el último fin de semana  fueron 130 niñes y 2 adultos. Se da una vianda, botella de leche y pan. Las familias deben llevar un tupper. De recibir alguna donación, harían una merienda entre semana.",,-34.822128,-56.163414
Montevideo,La Teja,Iniciativa Vecinal,Olla,Se reciben alimentos,No corresponde,,Av Carlos Ramirez entre Teller y Agustín Muñoz,Jueves 20.00 hs,Llevar tupper,,-34.863326,-56.232673
Montevideo,Cordón,Club Atlético Cordón,Olla,Se reciben donaciones,091923053,,Galicia 1673,Olla: Consultar al número de contacto Donaciones: 14 a 16 hs,Se coordinan retiros de donaciones vía telefónica,,-34.897577,-56.181066
Montevideo,Centro,Movimiento de Participación Popular,Punto de Donación,"Se reciben alimentos no perecederos, productos de limpieza e Higiene personal",092999609,,Mercedes 1368,9 a 18 hs,Se van a buscar a domicilio las donaciones o se reciben en el local. Contactarse vía Whatsapp para coordinar el retiro.,,-34.903645,-56.186711
Rocha,"Chuy,La Coronilla,Barra del Chuy,18 de Julio",Red Solidaria Chuy,Punto de Donación,Se reciben alimentos no perecederos y toda clase de donaciones,098823513,098327339,No corresponde,Durante el día,Contactar vía telefónica para acordar punto de entrega y solicitud de apoyo,,No corresponde,No corresponde
Montevideo,Jacinto Vera,Centro Social y Deportivo Victoria,Olla,Alimentos no perecederos,091773513,,Requena 2716,"Jueves, sábado y lunes a las 20 hs",Llevar recipiente,,-34.877124,-56.173248
Montevideo,No corresponde,Iniciativa ciudadana: CANASTAS UY,Canasta,Ofrecer trabajo voluntario en el armado de las canastas.,No corresponde,@CanastasUy en IG,No corresponde,,"Están entregando canastas en Municipio A, Colonia Nicolich y Paso Carrasco.  Audita Guyer&Regules",,No corresponde,No corresponde
Montevideo,Nuevo París,Pizzería Los Dos Hermanos,Olla,Reciben donaciones,23071388,,Turubí y Carlos de la Vega,"Martes, Jueves y Sábado 13hs",,,-34.845836,-56.243222
Montevideo,Villa Española,Pizzeria El Triunfo,Empresa que dona,"Reciben donaciones de harina, salsa de tomate, cosas para pizza. Solo les queda materia prima para hacer una jornada más de reparto.",098735539,,Himalaya 3148,,Para familias con niños/as reparten pizzetas por familia.,,-34.866483,-56.150291
Montevideo,"Cordón,Palermo,Parque Rodó,Aguada,La Comercial,Tres Cruces",Jóvenes del Municipio B Apoyo: Consejo Vecinal 2,Realización de compras,No corresponde,099405205,areasocialmunicipiob@gmail.com,No corresponde,Se toman pedidos desde las 9 hasta las 15hs.,"Adultos mayores de 60 años, personas con enfermedades crónicas, personas con discapacidad, hogares monoparentales con niños a cargo",,No corresponde,No corresponde
Montevideo,Barrio Sur,Iniciativa vecinal,Olla,Aimentos,098520248,093524166,Plaza Medellín (Zelmar Michelini y Carlos Gardel),Viernes a las 21 hs,Reciben donaciones en todos los almacenes del barrio,,-34.911241,-56.189620
Canelones,Todos,Intendencia de Canelones,Canasta,No aplica,Ver aclaraciones adicionales,092173550,A domicilio,Durante el día,"092385066 y 092173650 (Santa Lucía) 098587614 (Atlántida, Salinas, Floresta, Parque del Plata y Soca) 092208126 (Los cerrillos) 092214673 (ciudad de la costa) 092208975 (Nicolich) 099414869 (La Paz), 092404975 y 092207148 (Las Piedras) 092374345 (Migues, Montes, Tala, San Jacinto) 092198948 (Paso Carrasco)",,No corresponde,No corresponde
Montevideo,Centro,Ándale taquería,Olla,No corresponde,099456647,,Salto 1200,L a V 12:00 hs,Entregan comida,,-34.907964,-56.181994
Montevideo,Barrio Sur,Taller Infantil Raíces junto a vecinas y organizaciones de Barrio Sur,Canasta,"Alimentos no perecederos para canastas y merienda, productos de limpieza e higiene",098697902 Camila Sosa,099005299 Sofía Raffaelli,Zelmar Michelini 993,"Donaciones para canastas los días jueves, donaciones para meriendas todos los días",,Raíces I BROU caja de ahorros pesos ($) 001930334-00001,-34.911662,-56.189755
Canelones,Jaureguiberry,Iniciativa vecinal,Olla,Alimentos,099624044,092787480  091049164  091278284,Se instrumenta en la zona norte de Jaureguiberry,,,,No corresponde,No corresponde
Montevideo,Parque Rodó,Librería Diomedes,Olla,Alimentos,2403 4713,,Bulevar España 2129 esquina Pablo de María,Martes y jueves a las 20.30 se sirve la comida,Se reciben donaciones de 10.00 a 21.00,,-34.908193,-56.170069
Montevideo,Parque Rodó,Amigos y vecinos del Parque Rodó,Punto de Donación,"Productos no perecederos y de limpieza, frutas, verduras y carne",099711537,,Espacio La Uruguaya (Pablo de María 936),14.00 a 17.00,Se pusieron como plazo de recepción el 12 de abril,,-34.911702,-56.170262
Montevideo,Parque Rodó,Alexandra Club Gourmet,Olla,"Metálico o en insumos como tapabocas, guantes, bandejas, tenedores descartables, alcohol e hipoclorito. También llaman a voluntarios menores de 60 años.",099171766,,Pablo de María 1056,"Lunes, miércoles y viernes de 12.00 a 14.00",,,-34.909054,-56.170612
Montevideo,Aguada,Brigada 1958,Olla,Reciben Donaciones,091894724,098651506,Cuareim 2301 Esq. Tajes,,,,-34.887261,-56.192365
Montevideo,"Aires Puros,Parque Batlle,Pocitos,Buceo,Malvín,Parque Rodó,Cordón,Centro",Cooperativa EKO y Vos Con Voz,Retiro de donaciones,Reciben alimentos no perecederos y artículos de limpieza e higiene personal,094990652,094566630,"Local Vos con Voz (Bulevar José Batlle y Ordoñez 4503)  Zona Parque Batlle hasta Malvín: telefónicamente Zona Pque Rodó, Cordón, Centro: telefónicamente",Local Vos con Voz: Lunes a Viernes de 9 a 14hs.,,,-34.854397,-56.180558
Montevideo,Palermo,Radio Pedal,Punto de Donación,"Reciben donaciones para ollas populares, canastas familiares, ropa, y lo que se crea pertinente",Florencia: 099812068 Salvador: 099661182 Sebastián: 09919986 Federica: 098969618,,San Salvador 1510 esq. Martínez Trueba,Martes de 10 a 12hs. Jueves de 15 a 18hs.,Reciben donaciones en ese horario o van a buscarlas si se contacta telefónicamente.,,-34.911565,-56.181238
Montevideo,Palermo,Iniciativa vecinal,Olla,Reciben donaciones,-,,Canelones 1552 esquina Salto,Todos los días al mediodía,,,-34.908184,-56.181911
Montevideo,La Comercial,Iniciativa vecinal,Olla,Alimentos,-,,Juan Paullier 2255 esq. Coquimbo  (frente a Jueves 5),Lunes a Sábados 20hs,,,-34.886225,-56.171177
Montevideo,Cordón,iniciativa vecinal,Olla,Reciben donaciones en puntos de donacion del barrio,-,,Fernandez Crespo 1780 esquina Paysandú,Lunes a Viernes 12:30 a 14:30,,,-34.898036,-56.178445
Montevideo,Ciudad Vieja,Plaza I,Punto de Donación,"Alimentos no perecederos, frutas y verduras, carne, productos sanitarios (tapabocas, guantes, alcohol en gel, detergente,etc), recipientes o tuppers",098141813,094053638,Lindolfo Cuestas y Cerrito,8 a 22hs,Se puede coordinar telefónicamente para ir a retirar,,-34.907624,-56.213909
Montevideo,Ciudad Vieja,Salón Cabeza,Punto de Donación,"Alimentos no perecederos, frutas y verduras, carne, productos sanitarios (tapabocas, guantes, alcohol en gel, detergente,etc), recipientes o tuppers",098141813,094053638,Reconquista 352,8 a 20:30,Se puede coordinar telefónicamente para ir a retirar,,-34.910130,-56.206906
Montevideo,Ciudad Vieja,Almacén Juan,Punto de Donación,"Alimentos no perecederos, frutas y verduras, carne, productos sanitarios (tapabocas, guantes, alcohol en gel, detergente,etc), recipientes o tuppers",098141813,094053638,Reconquista 247,8 a 20:30,Se puede coordinar telefónicamente para ir a retirar,,-34.910708,-56.209299
Montevideo,Ciudad Vieja,Salón del Sol,Punto de Donación,"Alimentos no perecederos, frutas y verduras, carne, productos sanitarios (tapabocas, guantes, alcohol en gel, detergente,etc), recipientes o tuppers",098141813,094053638,Cerrito 732,9 a 18hs,Se puede coordinar telefónicamente para ir a retirar,,-34.903504,-56.201346
Montevideo,Ciudad Vieja,Panadería Futuro Puerto,Punto de Donación,"Alimentos no perecederos, frutas y verduras, carne, productos sanitarios (tapabocas, guantes, alcohol en gel, detergente,etc), recipientes o tuppers",098141813,094053638,Guaraní 1370,24hs,Se puede coordinar telefónicamente para ir a retirar,,-34.909401,-56.211844
Montevideo,Ciudad Vieja,Super Lupín,Punto de Donación,"Alimentos no perecederos, frutas y verduras, carne, productos sanitarios (tapabocas, guantes, alcohol en gel, detergente,etc), recipientes o tuppers",098141813,094053638,Perez Castellanos y Sarandí,8 a 19hs,Se puede coordinar telefónicamente para ir a retirar,,-34.909145,-56.209825
Montevideo,Ciudad Vieja,La Castilla,Punto de Donación,"Alimentos no perecederos, frutas y verduras, carne, productos sanitarios (tapabocas, guantes, alcohol en gel, detergente,etc), recipientes o tuppers",098141813,094053638,Perez Castellano 1368,10 a 22hs,Se puede coordinar telefónicamente para ir a retirar,,-34.908602,-56.209939
Montevideo,Barrio Sur,Almacén La Moni,Punto de Donación,"Alimentos no perecederos, frutas y verduras, carne, productos sanitarios (tapabocas, guantes, alcohol en gel, detergente,etc), recipientes o tuppers",098141813,094053638,Gonzalo Ramírez y Carlos Quijano,"Lunes a Viernes 10:00 a 14:00, 16:00 a 20:00",Se puede coordinar telefónicamente para ir a retirar,,-34.911759,-56.188467
Montevideo,Barrio Sur,Autoservice Mediomundo,Punto de Donación,"Alimentos no perecederos, frutas y verduras, carne, productos sanitarios (tapabocas, guantes, alcohol en gel, detergente,etc), recipientes o tuppers",098141813,094053638,Durazno y Zelmar Michellini,Horario almacen,Se puede coordinar telefónicamente para ir a retirar,,-34.910453,-56.189717
Montevideo,Barrio Sur,Autoservice La Esquina,Punto de Donación,"Alimentos no perecederos, frutas y verduras, carne, productos sanitarios (tapabocas, guantes, alcohol en gel, detergente,etc), recipientes o tuppers",098141813,094053638,Carlos Gardel y Gutierrez Ruiz,Lunes a Sábado 10:00 a 21:00hs,Se puede coordinar telefónicamente para ir a retirar,,-34.911444,-56.190778
Montevideo,Centro,Super Los Valientes,Punto de Donación,"Alimentos no perecederos, frutas y verduras, carne, productos sanitarios (tapabocas, guantes, alcohol en gel, detergente,etc), recipientes o tuppers",098141813,094053638,Durazno y Paraguay,Horario super,Se puede coordinar telefónicamente para ir a retirar,,-34.910638,-56.191986
Montevideo,Centro,Minimarket Al Sur,Punto de Donación,"Alimentos no perecederos, frutas y verduras, carne, productos sanitarios (tapabocas, guantes, alcohol en gel, detergente,etc), recipientes o tuppers",098141813,094053638,Canelones y W. Ferreira,"Lunes a Jueves 8:00 a 22:00, Viernes 8:00 a 00:00, Sábados 10:00 a 00:00",Se puede coordinar telefónicamente para ir a retirar,,-34.908992,-56.195569
Montevideo,Pocitos,Ni todo está perdido,Punto de Donación,"Alimentos, productos de higiene y depósitos a cuenta bancaria",091006810 Angie,,Carlos Ma. Maeso 2763,,"Se reciben aportes en esa dirección, se coordinan retiros, depósitos y entregas al celular",,-34.911159,-56.156321
Montevideo,Centro,El Tundra Bar,Olla,Reciben donaciones,29091578,,Durazno 902 esq. Convención,Lunes al mediodía,,,-34.910981,-56.196449
Montevideo,Casabó,Comisión Fomento Estrella del cerro,Punto de Donación,"Alimentos no perecederos, artículos de limpieza e higiene, todo para armado de canastas",094641143,092297795,José Cañas 4037 Esq. De los Santos,de 8 a 12 hrs o coordinar vía celular,También se puede llamar al 092297795 para coordinar e ir a buscar las donaciones,,-34.881804,-56.280016
Montevideo,Villa Española,Organización Vecinal,Punto de Donación,"Alimentos no perecederos, donaciones para olla popular de la zona.",No corresponde,,Av. José Pedro Varela 1461,Todos los días de 10 a 16 hrs.,Se reciben donaciónes en el auditorio para repartir canastas en la zona.,,-34.861683,-56.152079
Montevideo,Villa Española,Iniciativa vecinal,Olla,"Olla popular de vecinos y vecinas, también se reciben donaciones",091705967,098464819,Agaces e Irureta goyena,"A diario, contactar vía telefónica ",,,-34.866385,-56.143896
Montevideo,Villa Española,Club Social y Deportivo Villa Española,Canasta,"Se reciben donaciones, se entregan canastas",099584844,094612415,Camino Corrales 3148,Durante el día.,Coordinar vía telefónica.,,-34.858798,-56.143191
Montevideo,Reducto,Vilardevoz,Punto de Donación,"Piden donaciones de mates, termos y bombillas para refugiados.",No corresponde,,Paraguay 1190, 14 a 18 hrs,,,-34.909028,-56.192078
Montevideo,Jacinto Vera,Club Yale,Punto de Donación,Alimentos no perecederos y artículos de limpieza.,091526172,,Dr. Gustavo Gallinal 1989,Durante el día.,Coordinar vía telefónica.,,-34.873161,-56.174260
Montevideo,No corresponde,Maestras Feministas,Punto de Donación,"Se reciben pañales, frazadas, toallas higiénicas, productos de limpieza y aseo personal, alimentos no perecederos.",099951050,099821950,No corresponde,Durante el día.,Coordinar vía telefónica con Bárbara o Irene.,,No corresponde,No corresponde
Montevideo,Cerrito de la Victoria,Iniciativa Vecinal,Olla,Se reciben alimentos no perecederos.,094576043,,Juan Acosta esq Cotopaxi,Durante el día.,En lo posible coordinar vía telefónica,,-34.845208,-56.164924
Montevideo,Cerrito de la Victoria,Iniciativa Vecinal,Olla,Se reciben donaciones,092933742,,San Martín Esq. B.Mendez,Durante el día.,En lo posible coordinar vía telefónica,,-34.856409,-56.174642
Canelones,Las Piedras,Comité Félix Vidarte,Punto de Donación,"Alimentos secos, verduras y artículos de limpieza",095496658,,República Argentina esq. Pando,Lunes a Viernes de 19 a 21 hs,Contactar por Whatsapp,,-34.722007,-56.209355
Montevideo,Villa Española,Olla Popular Vecines,Olla,Alimentos para comida de olla,091994815 (Marcela) - 099920303,,Agaces y Irureta Goyena,16:30 a 19:00 hs,Pasan a buscar donaciones en la zona. Entregan plato,,-34.866508,-56.143837
Montevideo,Villa Española,Asociación Civil Barrio y Cultura,Canasta,"Alimentos no perecederos, leche en polvo",094 804 648,098231098,Anfiteatro Canario Luna. Dámaso A. Larrañaga Esq. José Serrato,Turismo: Lunes a viernes de 13 a 16hs,Resto de las semanas: L a S de 10 a 16 hs,,-34.861733,-34.861733
Montevideo,Ciudad Vieja,AEBU,Olla,Reciben donaciones en bar Montevideo al Sur de 9:00 a 00:00,-,,Aebu - Reconquista 570,Martes y Jueves 12hs,,,-34.908793,-56.202720
Montevideo,Barrio Sur,Montevideo al Sur,Olla,Reciben donaciones de 9:00 a 00:00,099228148,,Paraguay 1150 esquina Maldonado,Miércoles 19hs,,,-34.909779,-56.191977
Montevideo,Centro,La Cretina Casa de Arte,Olla,Reciben donaciones en bar Montevideo al Sur de 9:00 a 00:00,099228148,,Soriano 1236 esquina Carlos Quijano,,,,-34.907581,-56.189352
Flores,Flores,Jóvenes FA-Flores,Retiro de donaciones,Artículos de limpieza,091270507,091397626,No corresponde,,,,No corresponde,No corresponde
Paysandú,No corresponde,Iniciativa Vecinal,Realización de compras,No corresponde,098247858,,No corresponde,,Realización de compras a población de riesgo,,No corresponde,No corresponde
Treinta y Trés,No corresponde,Jóvenes FA-Treinta y Tres,Realización de compras,No corresponde,092365306  091665164  098864387,,No corresponde,,Realización de compras a población de riesgo,,No corresponde,No corresponde
Montevideo,Pocitos,Jóvenes FA,Retiro de donaciones,"Recaudación de alimentos secos, ropa, juguetes y artículos de primera necesidad",098220931,,No corresponde,,,,No corresponde,No corresponde
Montevideo,Nuevo París,Iniciativa vecinal,Olla,Alimentos,097113175,093846063,"Batlle Berres, entre camino las tropas y Yugoslavia","Lunes, miércoles y viernes a las 19 hs",Traer vianda,,"-34.846393, ",-56.250488
Montevideo,Jacinto Vera,Comité García Lorca,Punto de Donación,Alimentos y productos de limpieza.,099 704 126,,Colorado 2212 casi Cufré,Lunes a viernes de 17 a 19 hs.,,,-34.878404,-56.170321
Montevideo,Colón,Iniciativa Vecinal: Plaza Inve 17,Olla,Se reciben donaciones,Paula 094999829,,Inve 17 y La Quinta,Sábados y Domingos,,,-34.791876,-56.224800
Montevideo,Barrio Lavalleja,Tablado Lavalleja,Olla,Se reciben donaciones,Bety 094085023,,Teatro Barrio Lavalleja - Camino Edison y Av. de las Instrucciones,Sabados y Domingos,,,-34.836066,-56.192264
Montevideo,Sayago,Iniciativa Vecinal: Parque de los Fogones,Olla,Se reciben donaciones,094951553,,Parque de los Fogones - Av. Millán y Martin Ximeno,Sabados y Domingos,,,-34.833875,-56.226058
Montevideo,Colón,Iniciativa Vecinal: Monte de la Francesa,Olla,Se reciben donaciones,Luis 094036883,,Monte de la Francesa - Lanús y Yegros,,,,-34.804983,-56.230063
Montevideo,Sayago,Agrupación Hinchas de Racing,Olla,Se reciben donaciones,Alvaro 095536444,,Millán y Eduardo Pondal,,,,-34.842715,-56.207704
Montevideo,Conciliación,Iniciativa Vecinal: Club Cohami,Olla,Se reciben donaciones,094624751,,Club cohami - Millan y Lecoq,Sabados y Domingos,,,-34.823054,-56.241162
Montevideo,Colón,Repique,Olla,Se reciben donaciones,091269590,,Amandau 5722,Lunes a Viernes de 11 a 16 hs,,,-34.805459,-56.224633
Montevideo,Conciliación,Sindicato COMESA,Olla,Se reciben donaciones,Claudio Vera: 099584720 ,,Martin Ximeno 875 esq. Millán,"Martes, Jueves, Sábado y Domingo 13 Hs.",,,-34.832166,-56.224585
Montevideo,Abayubá,Iniciativa vecinal,Olla,Se reciben donaciones,Mirtha Gao,,Cno de la Justicia y Abayubá,Todos los días de tarde,,,-34.767720,-56.220661
Montevideo,Conciliación,Vecinos de La Tablada,Olla,Se reciben donaciones,Augusto 099894189 ,,Lecocq 934 esq Millán ,Lunes y Miercoles 13 hs.,,,-34.822200,-56.240613
Montevideo,Casavalle,Angel (almacén y flia),Merienda,Leche y verduras.,092671301,,"San Ramón, solar 6, Barrio 1 de Mayo (Galpón al costado del almacén)","Merendero: Lunes a lunes de 8 a 10 (dejan las botellas y luego las pasan a bucar). Olla: Sábado y domingo, se entrega la comida desde las 17:00 a 18:00.","Ángel y su flia tienen vivienda en el barrio 1° de Mayo y tienen un almacén, donde elaboran la comida y panes para la iniciativa (han recibido donaciones, ) Inicitiva de Ángel y su flia, actualmente funciona con a partir de donaciones e ingresos de la flia",,-34.821251,-56.161951
Montevideo,Casavalle,Vecinas/os de la Gruta.,Olla,"Granos, verduras.",095229074 (Angélica),,Gruta de Lourdes.,"Miercoles, sábados y domingos.","Atienden a 70 personas, con porciones de 3 litros.",,-34.825861,-56.183602
Montevideo,Casavalle,Vecinas/os de Instrucciones y Mendoza.,Olla,"Carne, pan, verduras, frutas.",092548176 (Sara),,"Club Arapey, Instrucciones y Mendoza",Todos los días a las 20:00.,Atienden 65 personas aprox. La inciativa es de 2 parejas (vecinas del barrio) y lo realizan con sus ingresos únicamente.,,-34.806489,-56.162328
Montevideo,"Larrañaga,La Blanqueada",Iniciativa Vecinal Todos Juntos,Punto de Donación,Alimentos no perecederos,098324142,,Emilio Raña 2915 esq. Juan Cabal (Club Paysandú),Martes y jueves de 15 a 18 hs y miércoels de 10 a 13 hs,"También retiran donaciones a domicilio, coordinar con el número de contacto. DIstribullen las donaciones en distintas ollas de Montevideo.",,-34.878475,-56.158861
Montevideo,"Larrañaga,La Blanqueada,Parque Rodó",C. A. La Blanqueada,Punto de Donación,Alimentos,099258845,"@LaBlanqueadaU en Twitter, Facebook e Instagram",Emilio Frugoni 1043 esq. Isla de Flores (Brownies Luis) Emilio Raña 2915 esq Juan Cabal (Club Paysandú),En Brownies Luis martes y miércoles de 17 a 18 hs. En Club Paysandú martes y jueves de 15 a 18 hs y miércoles de 10 a 13 hs.,"También retiran donaciones a domicilio, coordinar con el número de contacto o por redes sociales.",,-34.910385,-56.175061
Montevideo,Buceo,Gimnasio Antoniello,Punto de Donación,Alimentos y productos de limpieza e higiene personal,099538917 (Eduardo Ballini),094625416 (José Gumber),"Escuela Japón, Pérez Gomar 2219 esq. Espinosa.","Martes, jueves y sábados, de 11:00 a 14:00",Coordinados con club Unión Atlética,,-34.893543,-56.123744
Montevideo,Malvín,Club Unión Atlética,Punto de Donación,Alimentos y productos de limpieza e higiene personal,Santiago Armas (098 894 273),094625416 (José Gumber),"Club Unión Atlética, Velsen 4509",Miércoles y viernes de 15:30 a 17:00,Coordinados con Gimnasio Antoniello,,-34.894249,-56.113103
Montevideo,No corresponde,Grupo de amigos,Particular que dona,Alimentos y fondos para compra de alimentos,099162365,,No corresponde,No corresponde,"Con donaciones a la cuenta compran alimentos que reparten a distintas ollas populares, principalmente por Marconi, Nuevo París y La Teja. También se pude coordinar con el número de contacto para que retiren donaciones a domicilio.",Itau 7805656 (Gabriela Peralta),No corresponde,No corresponde
Montevideo,No corresponde,SOMOS - Acción en Red,Retiro de donaciones,Todo tipo de donaciones y fondos,Instagram o Twitter: @somosaccionuy,e-mail: somos@somosaccion.uy,No corresponde,No corresponde,Vinculan a personas y empresas que están dispuestas a contribuir con quienes llevan adelante iniciativas solidarias. Contactar por e-mail o redes sociales.,,No corresponde,No corresponde
Montevideo,Brazo Oriental,Iniciativa vecinal,Olla,Alimentos,"098409665, 099091891, 099073492",,Guillermo Tell 4022 esq. Darwin (Delta Patin Club),Domingos 20 hs. Coordinar para donaciones.,,,-34.861191,-56.183607
Canelones,Barros Blancos,RED DE MERENDEROS,Merienda,Se reciben donaciones,095509142,,Villa La Colina - Rincón esq. 25 de agosto frente al Huracán Siré,"Sábados, con previa coordinación",,,-34.750432,-56.013633
Canelones,Barros Blancos,Carnicería: Don Delgado,Olla,Se reciben donaciones,22888485,,Ruta 8 km 23.800,"Lunes a sábado, 19 hs",,,-34.762953,-56.016789
Canelones,Barros Blancos,Los Pinos Baby,Canasta,Se reciben donaciones,"092 663 361, 099 748 875, 098 557 244",,Ruta 8 km 26 - Cancha Los Pinos,Sábados,,,-34.748551,-56.002552
Canelones,Barros Blancos,Los Pinos Baby,Olla,Se reciben donaciones,"092 663 361, 099 748 875, 098 557 244",,Ruta 8 km 26 - Cancha Los Pinos,Miércoles 19 hs.,,,-34.748551,-56.002552
Canelones,Barros Blancos,Comisión de Jóvenes de Barros Blancos y Murga la Mascarada,Olla,Se reciben donaciones,"094 485 351, 092 876 371",,Ruta 8 km 26.500,Sábados 19 hs y Domingos 13.30 hs.,,,-34.749466,-55.997187
Canelones,Barros Blancos,Comisión de Jóvenes de Barros Blancos y Murga la Mascarada,Merienda,Se reciben donaciones,"094 485 351, 092 876 371",,Ruta 8 km 26.500,Jueves 17 hs.,,,-34.749466,-55.997187
Canelones,Barros Blancos,Lista 939 FA,Canasta,Se reciben donaciones,094345006,,Ruta 8 Km. 25.500 - Calle Las Magnolias entre Caputti y Las Violetas,Coordinar por teléfono,,,-34.756945,-56.003823
Canelones,Suárez,Iniciativa Vecinal,Olla,Reciben donaciones ,093 687 106,,Calle Pérez Castellano esq.Aparicio Saravia en el costado de heladería Francolate,Coordinar donaciones por mensaje de WhatsApp o llamar,,,-34.733072,-56.035397
Montevideo,Tres Cruces,Comité 26 de Julio,Punto de Donación,"Se reciben donaciones de alimentos. Items más urgentes: harina, lentejas, arroz, azúcar, aceite y leche en polvo.",099440037,,Cufré 1800 esquina Ferrer Serra,"Jueves , Viernes y Sábados de 17 a 20hs",Los alimentos se reciben para colaborar con las canastas del PIT CNT y las ollas populares del barrio.,,-34.895018,-56.168605
Montevideo,Centro,Red Solidaria Arerunguá,Punto de Donación,Alimentos no perecederos y ropa,092143478,,Soriano 1384,Lunes a viernes de 10 a 17 hs,"Ellos tienen una red de personas que reparten en barrios de la periferia, trabajan con unos 40 referentes barriales de Montevideo",,-34.907331,-56.185772
Montevideo,Jardines del Hipódromo,Iniciativa vecinal,Olla,Alimentos y otro tipo de donaciones (actualmente están faltando sobre todo verduras),096 880 946,,José Piendibene 3642 esq. Lacio,"sábados y domingos, arranca a las 17 aprox","Llevar vianda, casa de familia",,-34.838186 ,-56.136904
Montevideo,Capurro,Sindicato de la Química,Olla,Dan viandas,2309 16 20 - 2304 93 06,organizacionquimica@adinet.com.uy,Capurro 928-930,19hs,,,-34.869393,-56.208219
Montevideo,Jacinto Vera,La Peña Parrilla,Olla,Se reciben donaciones de alimentos.,2203 0311,,Pedernal 2151,"Miércoles, Viernes y Domingo entre 13 y 16hs",Llevar Vianda,,-34.874784,-56.169932
Montevideo,Malvín Norte,Olla Popular Berro,Olla,Alimentos,092630371 (Rosa),096205657,Enrique Ciancone esquina Roberto Berro,Sábados y domingos a partir de las 20:00 (llevar recimiente),Lo que más escasea es carne y verdura,,-34.875924, -56.117013
Montevideo,Jardines del Hipódromo,Iniciativa vecinal,Olla,"Alimentos en general, pero lo que diariamente más falta es carne, frutas/verduras y pan.",099734480,,David Chiossoni 3585,martes y jueves 20hs,Llevar tupper y una persona x núcleo familiar. Pueden pasar a buscar donaciones,Tarjeta MiDinero ci 3508072-4,-34.837570,-56.132950
Montevideo,Malvín Norte,Olla Malvín Norte,Olla,"Alimentos. Lo que más escasea en este momento es aceite, salsa de tomate y leche.",093 301 890 095 628 133,,"Salón CH INVE 16, Calle 121 esquina Iguá","Se entrega viernes, sábados y domingos, alrededor de las 17:00","Las donaciones se reciben de lunes a jueves de 11:00 a 17:00. Dependiendo de las donaciones, también se arman canastas y se preparan meriendas.",,-34.881239,-56.113802
Montevideo,Barrio Lavalleja,Iniciativa Vecinal,Olla,Alimentos,No corresponde,,Calle F 3957,"Sábado y Domingo 17 horas inicia, se reparte 20 horas",Casa de ICA,,-34.837212,-56.184377
Montevideo,Barrio Lavalleja,Iniciativa Vecinal,Olla,Alimentos,No corresponde,Nicolás,Royal Instrucciones 1200 A D2 ,Domingo 13:30 horas,,,-34.839276, -56.196253
Montevideo,Barrio Lavalleja,Iniciativa Vecinal,Olla,Alimentos,No corresponde,,"Pasaje F, entre Av. Instrucciones y Gambeta (A 1 cuadra del liceo 60)",Sábado y Domingo olla 20:30 horas Lunes merienda 18 horas,,,-34.839915,-56.192766
Montevideo,Barrio Lavalleja,Iniciativa Vecinal,Olla,Alimentos,No corresponde,José,Silva 3993 Entre Costanera y Fuentes,,"Vecinos Unidos , Lunes a Domingo de noche",,-34.841651,-56.186665
Montevideo,Barrio Lavalleja,Iniciativa Vecinal,Olla,Alimentos,No corresponde,Julio,Pasaje 121 1178,,"Proyecto Tío Julio , Lunes a Domingo ",,-34.843985,-56.188754
Montevideo,Malvín Norte,Olla Popular Boix Merino,Olla,Reciben todo tipo de donaciones,094889164 - 095578924,,Calle 2 2240.,,Reciben donaciones todos los días de 9:30 a 19:00 en Menorca 1905 y calle 4,,-34.879767,-56.123530
Montevideo,Sayago,Iniciativa vecinal,Olla,Se reciben alimentos,096806888 (Beatriz),,Ariel y vía (Frente al club sayago),13:00 hrs (Todos los días),Llevar vianda. Se reciben donaciones: todos los días frente al Club Sayago,,-34.832568,-56.218260
Montevideo,Malvín Norte,Vecinos Euskalerría,Olla,"Alimentos no perecederos, verduras, productos de limpieza",095425068  093301890  095628133,,Costanera Euskalerría,Sábados y domingos,,,-34.882236,-56.124485
